Num,Title,Actors [4],Director,Genre,Year
83,Monty Python and the Holy Grail,"Graham Chapman, John Cleese, Eric Idle, Terry Gilliam","Terry Gilliam, Terry Jones",Adventure,1975
84,Scarface,"Al Pacino, Steven Bauer, Michelle Pfeiffer, Mary Elizabeth Mastrantonio",Brian De Palma,Crime,1983
85,L.A. Confidential,"Kevin Spacey, Russell Crowe, Guy Pearce, James Cromwell",Curtis Hanson,Crime,1997
86,Good Will Hunting,"Matt Damon, Ben Affleck, Stellan Skarsgård, John Mighton",Gus Van Sant,Drama,1997
87,The Treasure of the Sierra Madre,"Humphrey Bogart, Walter Huston, Tim Holt, Bruce Bennett",John Huston,Adventure,1948
88,Indiana Jones and the Last Crusade,"Harrison Ford, Sean Connery, Denholm Elliott, Alison Doody",Steven Spielberg,Action,1989
89,Some Like It Hot,"Marilyn Monroe, Tony Curtis, Jack Lemmon, George Raft",Billy Wilder,Comedy,1959
90,Batman Begins,"Christian Bale, Michael Caine, Liam Neeson, Katie Holmes",Christopher Nolan,Action,2005
91,Up,"Edward Asner, Christopher Plummer, Jordan Nagai, Bob Peterson","Pete Docter, Bob Peterson",Animation,2009
92,The Third Man,"Joseph Cotten, Alida Valli, Orson Welles, Trevor Howard",Carol Reed,Film-Noir,1949
93,Unforgiven,"Clint Eastwood, Gene Hackman, Morgan Freeman, Richard Harris",Clint Eastwood,Drama,1992
94,Judgment at Nuremberg,"Spencer Tracy, Burt Lancaster, Richard Widmark, Marlene Dietrich",Stanley Kramer,Drama,1961
95,Raging Bull,"Robert De Niro, Cathy Moriarty, Joe Pesci, Frank Vincent",Martin Scorsese,Biography,1980
96,The Great Escape,"Steve McQueen, James Garner, Richard Attenborough, James Donald",John Sturges,Adventure,1963
97,Heat,"Al Pacino, Robert De Niro, Val Kilmer, Jon Voight",Michael Mann,Action,1995
98,Die Hard,"Bruce Willis, Bonnie Bedelia, Reginald VelJohnson, Paul Gleason",John McTiernan,Action,1988
99,The Gold Rush,"Charles Chaplin, Mack Swain, Tom Murray, Henry Bergman",Charles Chaplin,Adventure,1925
100,Chinatown,"Jack Nicholson, Faye Dunaway, John Huston, Perry Lopez",Roman Polanski,Drama,1974
101,On the Waterfront,"Marlon Brando, Karl Malden, Lee J. Cobb, Rod Steiger",Elia Kazan,Crime,1954
102,Mr. Smith Goes to Washington,"Jean Arthur, James Stewart, Claude Rains, Edward Arnold",Frank Capra,Comedy,1939
103,The General,"Buster Keaton, Marion Mack, Glen Cavender, Jim Farley","Clyde Bruckman, Buster Keaton",Action,1926
104,Inside Out,"Amy Poehler, Phyllis Smith, Richard Kind, Bill Hader","Pete Docter, Ronnie Del Carmen",Animation,2015
105,The Bridge on the River Kwai,"William Holden, Alec Guinness, Jack Hawkins, Sessue Hayakawa",David Lean,Adventure,1957
106,Room,"Brie Larson, Jacob Tremblay, Sean Bridgers, Wendy Crewson",Lenny Abrahamson,Drama,2015
107,La La Land,"Ryan Gosling, Emma Stone, Amiée Conn, Terry Walters",Damien Chazelle,Comedy,2016
108,Logan,"Hugh Jackman, Patrick Stewart, Dafne Keen, Boyd Holbrook",James Mangold,Action,2017
109,Blade Runner,"Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos",Ridley Scott,Sci-Fi,1982
110,"Lock, Stock and Two Smoking Barrels","Jason Flemyng, Dexter Fletcher, Nick Moran, Jason Statham",Guy Ritchie,Comedy,1998
111,Casino,"Robert De Niro, Sharon Stone, Joe Pesci, James Woods",Martin Scorsese,Crime,1995
112,A Beautiful Mind,"Russell Crowe, Ed Harris, Jennifer Connelly, Christopher Plummer",Ron Howard,Biography,2001
113,The Elephant Man,"Anthony Hopkins, John Hurt, Anne Bancroft, John Gielgud",David Lynch,Biography,1980
114,Warrior,"Joel Edgerton, Tom Hardy, Nick Nolte, Jennifer Morrison",Gavin O'Connor,Action,2011
115,V for Vendetta,"Natalie Portman, Hugo Weaving, Stephen Rea, Stephen Fry",James McTeigue,Action,2005
116,The Wolf of Wall Street,"Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey",Martin Scorsese,Biography,2013
117,Dial M for Murder,"Ray Milland, Grace Kelly, Robert Cummings, John Williams",Alfred Hitchcock,Crime,1954
118,Hacksaw Ridge,"Andrew Garfield, Richard Pyros, Jacob Warner, Milo Gibson",Mel Gibson,Biography,2016
