Num,Title,Actors [4],Director,Genre,Year
169,Harry Potter and the Deathly Hallows: Part 2,"Ralph Fiennes, Michael Gambon, Alan Rickman, Daniel Radcliffe",David Yates,Adventure,2011
170,Star Wars: The Force Awakens,"Harrison Ford, Mark Hamill, Carrie Fisher, Adam Driver",J.J. Abrams,Action,2015
171,"Paris, Texas","Harry Dean Stanton, Sam Berry, Bernhard Wicki, Dean Stockwell",Wim Wenders,Drama,1984
172,The Last Picture Show,"Timothy Bottoms, Jeff Bridges, Cybill Shepherd, Ben Johnson",Peter Bogdanovich,Drama,1971
173,Gandhi,"Ben Kingsley, Candice Bergen, Edward Fox, John Gielgud",Richard Attenborough,Biography,1982
174,Barry Lyndon,"Ryan O'Neal, Marisa Berenson, Patrick Magee, Hardy Krüger",Stanley Kubrick,Adventure,1975
175,Rocky,"Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers",John G. Avildsen,Drama,1976
176,Annie Hall,"Woody Allen, Diane Keaton, Tony Roberts, Carol Kane",Woody Allen,Comedy,1977
177,Prisoners,"Hugh Jackman, Jake Gyllenhaal, Viola Davis, Maria Bello",Denis Villeneuve,Crime,2013
178,Donnie Darko,"Jake Gyllenhaal, Holmes Osborne, Maggie Gyllenhaal, Daveigh Chase",Richard Kelly,Drama,2001
179,Catch Me If You Can,"Leonardo DiCaprio, Tom Hanks, Christopher Walken, Martin Sheen",Steven Spielberg,Biography,2002
180,The Man Who Shot Liberty Valance,"John Wayne, James Stewart, Vera Miles, Lee Marvin",John Ford,Action,1962
181,Laura,"Gene Tierney, Dana Andrews, Clifton Webb, Vincent Price",Otto Preminger,Drama,1944
182,"Monsters, Inc.","John Goodman, Billy Crystal, Mary Gibbs, Steve Buscemi","Pete Docter, David Silverman, Lee Unkrich",Animation,2001
183,The Bourne Ultimatum,"Matt Damon, Julia Stiles, David Strathairn, Scott Glenn",Paul Greengrass,Action,2007
184,Cat on a Hot Tin Roof,"Elizabeth Taylor, Paul Newman, Burl Ives, Jack Carson",Richard Brooks,Drama,1958
185,The Wizard of Oz,"Judy Garland, Frank Morgan, Ray Bolger, Bert Lahr","Victor Fleming, George Cukor, Mervyn LeRoy, Norman Taurog, King Vidor",Adventure,1939
186,Sleuth,"Laurence Olivier, Michael Caine, Alec Cawthorne, John Matthews",Joseph L. Mankiewicz,Mystery,1972
187,Roman Holiday,"Gregory Peck, Audrey Hepburn, Eddie Albert, Hartley Power",William Wyler,Comedy,1953
188,Out of the Past,"Robert Mitchum, Jane Greer, Kirk Douglas, Rhonda Fleming",Jacques Tourneur,Crime,1947
189,Anatomy of a Murder,"James Stewart, Lee Remick, Ben Gazzara, Arthur O'Connell",Otto Preminger,Crime,1959
190,Who's Afraid of Virginia Woolf?,"Elizabeth Taylor, Richard Burton, George Segal, Sandy Dennis",Mike Nichols,Drama,1966
191,The Terminator,"Arnold Schwarzenegger, Michael Biehn, Linda Hamilton, Paul Winfield",James Cameron,Action,1984
192,Groundhog Day,"Bill Murray, Andie MacDowell, Chris Elliott, Stephen Tobolowsky",Harold Ramis,Comedy,1993
193,The Help,"Emma Stone, Viola Davis, Bryce Dallas Howard, Octavia Spencer",Tate Taylor,Drama,2011
194,Strangers on a Train,"Farley Granger, Ruth Roman, Robert Walker, Leo G. Carroll",Alfred Hitchcock,Crime,1951
195,The Night of the Hunter,"Robert Mitchum, Shelley Winters, Lillian Gish, James Gleason",Charles Laughton,Crime,1955
196,All Quiet on the Western Front,"Louis Wolheim, Lew Ayres, John Wray, Arnold Lucy",Lewis Milestone,Drama,1930
197,Beauty and the Beast,"Robby Benson, Jesse Corti, Rex Everhart, Angela Lansbury","Gary Trousdale, Kirk Wise",Animation,1991
198,Lion,"Sunny Pawar, Abhishek Bharate, Priyanka Bose, Khushi Solanki",Garth Davis,Biography,2016
199,Twelve Monkeys,"Joseph Melito, Bruce Willis, Jon Seda, Michael Chance",Terry Gilliam,Mystery,1995
200,Guardians of the Galaxy,"Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel",James Gunn,Action,2014
201,Dog Day Afternoon,"Penelope Allen, Sully Boyar, John Cazale, Beulah Garrick",Sidney Lumet,Biography,1975
202,Jaws,"Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary",Steven Spielberg,Adventure,1975
203,Zootopia,"Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate","Jared Bush, Byron Howard, Rich Moore",Animation,2016
204,Guardians of the Galaxy Vol. 2,"Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel",James Gunn,Action,2017
205,Pirates of the Caribbean: The Curse of the Black Pearl,"Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley",Gore Verbinski,Action,2003
206,Before Sunset,"Ethan Hawke, Julie Delpy, Vernon Dobtcheff, Louise Lemoine Torrès",Richard Linklater,Drama,2004
207,The Imitation Game,"Benedict Cumberbatch, Keira Knightley, Matthew Goode, Rory Kinnear",Morten Tyldum,Biography,2014
208,Young Frankenstein,"Gene Wilder, Peter Boyle, Marty Feldman, Madeline Kahn",Mel Brooks,Comedy,1974
209,Stalag 17,"William Holden, Don Taylor, Otto Preminger, Robert Strauss",Billy Wilder,Drama,1953
210,Dogville,"Nicole Kidman, Harriet Andersson, Lauren Bacall, Jean-Marc Barr",Lars von Trier,Crime,2003
211,Dead Poets Society,"Robin Williams, Robert Sean Leonard, Ethan Hawke, Josh Charles",Peter Weir,Comedy,1989
212,High Noon,"Gary Cooper, Thomas Mitchell, Lloyd Bridges, Katy Jurado",Fred Zinnemann,Drama,1952
213,Papillon,"Steve McQueen, Dustin Hoffman, Victor Jory, Don Gordon",Franklin J. Schaffner,Biography,1973
214,A Streetcar Named Desire,"Vivien Leigh, Marlon Brando, Kim Hunter, Karl Malden",Elia Kazan,Drama,1951
215,Arsenic and Old Lace,"Cary Grant, Priscilla Lane, Raymond Massey, Jack Carson",Frank Capra,Comedy,1944
216,Sin City,"Jessica Alba, Devon Aoki, Alexis Bledel, Powers Boothe","Frank Miller, Robert Rodriguez, Quentin Tarantino",Crime,2005
217,The Hustler,"Paul Newman, Jackie Gleason, Piper Laurie, George C. Scott",Robert Rossen,Drama,1961
218,A Night at the Opera,"Groucho Marx, Chico Marx, Harpo Marx, Kitty Carlisle","Sam Wood, Edmund Goulding",Comedy,1935
219,The Killing,"Sterling Hayden, Coleen Gray, Vince Edwards, Jay C. Flippen",Stanley Kubrick,Crime,1956
220,The Avengers,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth",Joss Whedon,Action,2012
221,Notorious,"Cary Grant, Ingrid Bergman, Claude Rains, Louis Calhern",Alfred Hitchcock,Drama,1946
222,Harvey,"Wallace Ford, William H. Lynn, Victoria Horne, Jesse White",Henry Koster,Comedy,1950
